213        Isotope List   
     Name    A   Z 
    3    1 HE  3 ( 0      , 0      )  1 H   3 +  -0.019 MEV
    4    1 HE  6 ( 0      , 0      )  1 LI  6 +   3.508 MEV
    5    1 LI  9 ( 0      , 0      )  1 BE  9 +  13.607 MEV
    6    1 BE  7 ( 0      , 0      )  1 LI  7 +   0.863 MEV
    7    1 BE 10 ( 0      , 0      )  1 B  10 +   0.556 MEV
    8    1 BE 11 ( 0      , 0      )  1 B  11 +  11.506 MEV
    9    1 B  12 ( 0      , 0      )  1 C  12 +  13.369 MEV
   10    1 B  13 ( 0      , 0      )  1 C  13 +  13.437 MEV
   11    1 C  10 ( 0      , 0      )  1 B  10 +   3.648 MEV
   12    1 C  11 ( 0      , 0      )  1 B  11 +   1.982 MEV
   13    1 C  14 ( 0      , 0      )  1 N  14 +   0.156 MEV
   14    1 C  15 ( 0      , 0      )  1 N  15 +   9.772 MEV
   15    1 N  11 ( 0      , 0      )  1 C  11 +  14.260 MEV
   16    1 N  12 ( 0      , 0      )  1 C  12 +  17.338 MEV
   17    1 N  13 ( 0      , 0      )  1 C  13 +   2.220 MEV
   18    1 N  16 ( 0      , 0      )  1 O  16 +  10.421 MEV
   19    1 N  17 ( 0      , 0      )  1 O  17 +   8.680 MEV
   20    1 N  18 ( 0      , 0      )  1 O  18 +  13.896 MEV
   21    1 O  13 ( 0      , 0      )  1 N  13 +  17.767 MEV
   22    1 O  14 ( 0      , 0      )  1 N  14 +   5.144 MEV
   23    1 O  15 ( 0      , 0      )  1 N  15 +   2.754 MEV
   24    1 O  19 ( 0      , 0      )  1 F  19 +   4.822 MEV
   25    1 F  17 ( 0      , 0      )  1 O  17 +   2.761 MEV
   26    1 F  18 ( 0      , 0      )  1 O  18 +   1.655 MEV
   27    1 F  20 ( 0      , 0      )  1 NE 20 +   7.025 MEV
   28    1 F  21 ( 0      , 0      )  1 NE 21 +   5.684 MEV
   29    1 F  22 ( 0      , 0      )  1 NE 22 +  10.818 MEV
   30    1 NE 17 ( 0      , 0      )  1 F  17 +  14.549 MEV
   31    1 NE 18 ( 0      , 0      )  1 F  18 +   4.444 MEV
   32    1 NE 19 ( 0      , 0      )  1 F  19 +   3.239 MEV
   33    1 NE 23 ( 0      , 0      )  1 NA 23 +   4.376 MEV
   34    1 NA 19 ( 0      , 0      )  1 NE 19 +  11.178 MEV
   35    1 NA 20 ( 0      , 0      )  1 NE 20 +  13.890 MEV
   36    1 NA 21 ( 0      , 0      )  1 NE 21 +   3.548 MEV
   37    1 NA 22 ( 0      , 0      )  1 NE 22 +   2.842 MEV
   38    1 NA 24 ( 0      , 0      )  1 MG 24 +   5.515 MEV
   39    1 NA 25 ( 0      , 0      )  1 MG 25 +   3.835 MEV
   40    1 NA 26 ( 0      , 0      )  1 MG 26 +   9.352 MEV
   41    1 MG 20 ( 0      , 0      )  1 NA 20 +  10.723 MEV
   42    1 MG 21 ( 0      , 0      )  1 NA 21 +  13.095 MEV
   43    1 MG 22 ( 0      , 0      )  1 NA 22 +   4.786 MEV
   44    1 MG 23 ( 0      , 0      )  1 NA 23 +   4.056 MEV
   45    1 MG 27 ( 0      , 0      )  1 AL 27 +   2.610 MEV
   46    1 AL 22 ( 0      , 0      )  1 MG 22 +  18.580 MEV
   47    1 AL 23 ( 0      , 0      )  1 MG 23 +  12.243 MEV
   48    1 AL 24 ( 0      , 0      )  1 MG 24 +  13.877 MEV
   49    1 AL 25 ( 0      , 0      )  1 MG 25 +   4.277 MEV
   50    1 AL -6 ( 0      , 0      )  1 MG 26 +   4.004 MEV
   51    1 AL *6 ( 0      , 0      )  1 MG 26 +   4.233 MEV
   52    1 AL 28 ( 0      , 0      )  1 SI 28 +   4.642 MEV
   53    1 AL 29 ( 0      , 0      )  1 SI 29 +   3.680 MEV
   54    1 AL 30 ( 0      , 0      )  1 SI 30 +   8.561 MEV
   55    1 SI 24 ( 0      , 0      )  1 AL 24 +  10.812 MEV
   56    1 SI 25 ( 0      , 0      )  1 AL 25 +  12.740 MEV
   57    1 SI 26 ( 0      , 0      )  1 AL *6 +   4.837 MEV
   58    1 SI 27 ( 0      , 0      )  1 AL 27 +   4.812 MEV
   59    1 SI 31 ( 0      , 0      )  1 P  31 +   1.492 MEV
   60    1 P  26 ( 0      , 0      )  1 SI 26 +  18.120 MEV
   61    1 P  27 ( 0      , 0      )  1 SI 27 +  11.667 MEV
   62    1 P  28 ( 0      , 0      )  1 SI 28 +  14.334 MEV
   63    1 P  29 ( 0      , 0      )  1 SI 29 +   4.942 MEV
   64    1 P  30 ( 0      , 0      )  1 SI 30 +   4.232 MEV
   65    1 P  32 ( 0      , 0      )  1 S  32 +   1.710 MEV
   66    1 P  33 ( 0      , 0      )  1 S  33 +   0.249 MEV
   67    1 P  34 ( 0      , 0      )  1 S  34 +   5.374 MEV
   68    1 P  35 ( 0      , 0      )  1 S  35 +   3.989 MEV
   69    1 P  36 ( 0      , 0      )  1 S  36 +  10.413 MEV
   70    1 S  27 ( 0      , 0      )  1 P  27 +  18.260 MEV
   71    1 S  28 ( 0      , 0      )  1 P  28 +  11.230 MEV
   72    1 S  29 ( 0      , 0      )  1 P  29 +  13.793 MEV
   73    1 S  30 ( 0      , 0      )  1 P  30 +   6.138 MEV
   74    1 S  31 ( 0      , 0      )  1 P  31 +   5.396 MEV
   75    1 S  35 ( 0      , 0      )  1 CL 35 +   0.167 MEV
   76    1 S  37 ( 0      , 0      )  1 CL 37 +   4.865 MEV
   77    1 CL 29 ( 0      , 0      )  1 S  29 +  17.530 MEV
   78    1 CL 30 ( 0      , 0      )  1 S  30 +  17.210 MEV
   79    1 CL 31 ( 0      , 0      )  1 S  31 +  11.980 MEV
   80    1 CL 32 ( 0      , 0      )  1 S  32 +  12.686 MEV
   81    1 CL 33 ( 0      , 0      )  1 S  33 +   5.583 MEV
   82    1 CL 34 ( 0      , 0      )  1 S  34 +   5.492 MEV
