213        Isotope List   
     Name    A   Z 
  275    1 P  31 ( 1 H   1, 1 C  12)  1 NE 20 + -10.104 MEV
  276    1 P  31 ( 1 H   1, 0      )  2 O  16 +  -7.678 MEV
  277    1 S  31 ( 1 NE  1, 1 C  12)  1 NE 20 +  -3.928 MEV
  278    1 S  31 ( 1 NE  1, 0      )  2 O  16 +  -1.500 MEV
  279    1 H   2 ( 1 H   1, 1 NE  1)  2 H   1 +  -2.225 MEV
  280    2 H   3 ( 0      , 2 NE  1)  1 HE  4 +  11.332 MEV
  281    2 HE  3 ( 0      , 2 H   1)  1 HE  4 +  12.860 MEV
  282    1 LI  7 ( 1 H   2, 1 NE  1)  2 HE  4 +  15.121 MEV
  283    1 LI  8 ( 1 H   1, 1 NE  1)  2 HE  4 +  15.313 MEV
  284    1 BE  7 ( 1 H   2, 1 H   1)  2 HE  4 +  16.766 MEV
  285    1 BE  9 ( 1 H   1, 1 H   2)  2 HE  4 +   0.651 MEV
  286    1 B   8 ( 1 NE  1, 1 H   1)  2 HE  4 +  18.853 MEV
  287    1 B  11 ( 1 H   1, 0      )  3 HE  4 +   8.682 MEV
  288    1 C  11 ( 1 NE  1, 0      )  3 HE  4 +  11.447 MEV
  289    1 O  13 ( 1 HE  4, 2 H   1)  1 O  15 +   8.102 MEV
  290    1 CA 36 ( 1 HE  4, 2 H   1)  1 CA 38 +   3.467 MEV
  291    1 LI  7 ( 1 H   3, 2 NE  1)  2 HE  4 +   8.864 MEV
  292    1 BE  7 ( 1 HE  3, 2 H   1)  2 HE  4 +  11.272 MEV
  293    1 HE  4 ( 2 NE  1, 0      )  1 HE  6 +   0.975 MEV
  294    2 HE  4 ( 1 NE  1, 0      )  1 BE  9 +   1.574 MEV
  295    3 HE  4 ( 0      , 0      )  1 C  12 +   7.275 MEV
  296    2 H   1 ( 1 NE  1, 1 H   1)  1 H   2 +   2.225 MEV
  297    1 HE  4 ( 2 NE  1, 0      )  2 H   3 + -11.332 MEV
  298    1 HE  4 ( 2 H   1, 0      )  2 HE  3 + -12.860 MEV
  299    2 HE  4 ( 1 NE  1, 1 H   1)  1 LI  8 + -15.313 MEV
  300    2 HE  4 ( 1 NE  1, 1 H   2)  1 LI  7 + -15.121 MEV
  301    2 HE  4 ( 1 H   1, 1 NE  1)  1 B   8 + -18.853 MEV
  302    2 HE  4 ( 1 H   1, 1 H   2)  1 BE  7 + -16.766 MEV
  303    2 HE  4 ( 1 H   2, 1 H   1)  1 BE  9 +  -0.651 MEV
  304    3 HE  4 ( 0      , 1 NE  1)  1 C  11 + -11.447 MEV
  305    3 HE  4 ( 0      , 1 H   1)  1 B  11 +  -8.682 MEV
  306    1 O  15 ( 2 H   1, 1 HE  4)  1 O  13 +  -8.102 MEV
  307    1 CA 38 ( 2 H   1, 1 HE  4)  1 CA 36 +  -3.467 MEV
  308    2 HE  4 ( 2 NE  1, 1 H   3)  1 LI  7 +  -8.864 MEV
  309    2 HE  4 ( 2 H   1, 1 HE  3)  1 BE  7 + -11.272 MEV
  310    1 AL 02 ( 0      , 0      )  1 MG 26 +   5.062 MEV
  311    1 AL 01 ( 0      , 0      )  1 MG 26 +   4.421 MEV
  312    1 AL -6 ( 0      , 0      )  1 AL 01 +  -0.417 MEV
  313    1 AL 01 ( 0      , 0      )  1 AL -6 +   0.417 MEV
  314    1 AL *6 ( 0      , 0      )  1 AL 01 +  -0.189 MEV
  315    1 AL 01 ( 0      , 0      )  1 AL *6 +   0.189 MEV
  316    1 AL *6 ( 0      , 0      )  1 AL 02 +  -0.830 MEV
  317    1 AL 02 ( 0      , 0      )  1 AL *6 +   0.830 MEV
  318    1 AL 01 ( 0      , 0      )  1 AL 02 +  -0.641 MEV
  319    1 AL 02 ( 0      , 0      )  1 AL 01 +   0.641 MEV
  320    1 AL *6 ( 0      , 0      )  1 AL 03 +  -1.841 MEV
  321    1 AL 03 ( 0      , 0      )  1 AL *6 +   1.841 MEV
  322    1 AL 01 ( 0      , 0      )  1 AL 03 +  -1.652 MEV
  323    1 AL 03 ( 0      , 0      )  1 AL 01 +   1.652 MEV
  324    1 AL 02 ( 0      , 0      )  1 AL 03 +  -1.011 MEV
  325    1 AL 03 ( 0      , 0      )  1 AL 02 +   1.011 MEV
  326    1 LI  7 ( 1 H   1, 0      )  2 HE  4 +  17.347 MEV
  327    2 HE  4 ( 0      , 1 H   1)  1 LI  7 + -17.347 MEV
  328    1 BE  7 ( 1 NE  1, 0      )  2 HE  4 +  18.990 MEV
  329    2 HE  4 ( 0      , 1 NE  1)  1 BE  7 + -18.990 MEV
  330    1 HE  3 ( 1 H   3, 0      )  1 LI  6 +  15.794 MEV
  331    1 LI  6 ( 0      , 1 H   3)  1 HE  3 + -15.794 MEV
  332    1 AL -6 ( 0      , 1 H   1)  1 MG 25 +  -6.306 MEV
  333    1 AL *6 ( 0      , 1 H   1)  1 MG 25 +  -6.078 MEV
  334    1 SI 27 ( 0      , 1 H   1)  1 AL -6 +  -7.463 MEV
  335    1 SI 27 ( 0      , 1 H   1)  1 AL *6 +  -7.691 MEV
  336    1 H   1 ( 0      , 0      )  1 NE  1 +  -0.782 MEV
  337    1 O  17 ( 0      , 0      )  1 F  17 +  -2.762 MEV
  338    1 O  18 ( 0      , 0      )  1 F  18 +  -1.655 MEV
  339    1 F  18 ( 0      , 0      )  1 NE 18 +  -4.446 MEV
  340    1 F  19 ( 0      , 0      )  1 O  19 +  -4.820 MEV
  341    1 F  19 ( 0      , 0      )  1 NE 19 +  -3.238 MEV
  342    1 NE 19 ( 0      , 0      )  1 NA 19 + -11.177 MEV
  343    1 NE 20 ( 0      , 0      )  1 NA 20 + -13.887 MEV
  344    1 NE 20 ( 0      , 0      )  1 F  20 +  -7.029 MEV
  345    1 NA 20 ( 0      , 0      )  1 MG 20 + -10.731 MEV
  346    1 NE 21 ( 0      , 0      )  1 NA 21 +  -3.547 MEV
  347    1 NE 21 ( 0      , 0      )  1 F  21 +  -5.688 MEV
  348    1 NA 21 ( 0      , 0      )  1 MG 21 + -13.102 MEV
  349    1 NE 22 ( 0      , 0      )  1 NA 22 +  -2.842 MEV
  350    1 NE 22 ( 0      , 0      )  1 F  22 + -10.816 MEV
  351    1 NA 22 ( 0      , 0      )  1 MG 22 +  -4.788 MEV
  352    1 NA 23 ( 0      , 0      )  1 NE 23 +  -4.376 MEV
  353    1 NA 23 ( 0      , 0      )  1 MG 23 +  -4.058 MEV
  354    1 MG 23 ( 0      , 0      )  1 AL 23 + -12.240 MEV
  355    1 MG 24 ( 0      , 0      )  1 AL 24 + -13.878 MEV
  356    1 MG 24 ( 0      , 0      )  1 NA 24 +  -5.514 MEV
  357    1 AL 24 ( 0      , 0      )  1 SI 24 + -10.810 MEV
  358    1 MG 25 ( 0      , 0      )  1 AL 25 +  -4.277 MEV
  359    1 MG 25 ( 0      , 0      )  1 NA 25 +  -3.833 MEV
  360    1 AL 25 ( 0      , 0      )  1 SI 25 + -12.742 MEV
  361    1 MG 26 ( 0      , 0      )  1 NA 26 +  -9.308 MEV
  362    1 AL 27 ( 0      , 0      )  1 SI 27 +  -4.812 MEV
  363    1 AL 27 ( 0      , 0      )  1 MG 27 +  -2.611 MEV
  364    1 SI 27 ( 0      , 0      )  1 P  27 + -11.635 MEV
  365    1 SI 28 ( 0      , 0      )  1 P  28 + -14.332 MEV
  366    1 SI 28 ( 0      , 0      )  1 AL 28 +  -4.642 MEV
  367    1 P  28 ( 0      , 0      )  1 S  28 + -11.362 MEV
  368    1 SI 29 ( 0      , 0      )  1 P  29 +  -4.944 MEV
  369    1 SI 29 ( 0      , 0      )  1 AL 29 +  -3.680 MEV
  370    1 P  29 ( 0      , 0      )  1 S  29 + -13.835 MEV
  371    1 SI 30 ( 0      , 0      )  1 AL 30 +  -8.562 MEV
  372    1 SI 30 ( 0      , 0      )  1 P  30 +  -4.226 MEV
  373    1 P  30 ( 0      , 0      )  1 S  30 +  -6.144 MEV
  374    1 P  31 ( 0      , 0      )  1 S  31 +  -5.396 MEV
  375    1 P  31 ( 0      , 0      )  1 SI 31 +  -1.490 MEV
  376    1 S  31 ( 0      , 0      )  1 CL 31 + -11.980 MEV
  377    1 S  32 ( 0      , 0      )  1 CL 32 + -12.687 MEV
  378    1 S  32 ( 0      , 0      )  1 P  32 +  -1.710 MEV
  379    1 CL 32 ( 0      , 0      )  1 AR 32 + -11.158 MEV
  380    1 S  33 ( 0      , 0      )  1 CL 33 +  -5.583 MEV
  381    1 S  33 ( 0      , 0      )  1 P  33 +  -0.248 MEV
  382    1 CL 33 ( 0      , 0      )  1 AR 33 + -11.606 MEV
  383    1 S  34 ( 0      , 0      )  1 CL 34 +  -5.492 MEV
  384    1 S  34 ( 0      , 0      )  1 P  34 +  -5.374 MEV
  385    1 CL 34 ( 0      , 0      )  1 AR 34 +  -6.061 MEV
  386    1 S  35 ( 0      , 0      )  1 P  35 +  -3.988 MEV
  387    1 CL 35 ( 0      , 0      )  1 S  35 +  -0.167 MEV
  388    1 CL 35 ( 0      , 0      )  1 AR 35 +  -5.965 MEV
  389    1 AR 35 ( 0      , 0      )  1 K  35 + -11.853 MEV
  390    1 S  36 ( 0      , 0      )  1 CL 36 +  -1.142 MEV
  391    1 AR 36 ( 0      , 0      )  1 K  36 + -12.805 MEV
  392    1 AR 36 ( 0      , 0      )  1 CL 36 +  -0.709 MEV
  393    1 K  36 ( 0      , 0      )  1 CA 36 + -10.945 MEV
  394    1 CL 37 ( 0      , 0      )  1 AR 37 +  -0.814 MEV
  395    1 CL 37 ( 0      , 0      )  1 S  37 +  -4.872 MEV
  396    1 AR 37 ( 0      , 0      )  1 K  37 +  -6.149 MEV
  397    1 K  37 ( 0      , 0      )  1 CA 37 + -11.640 MEV
  398    1 AR 38 ( 0      , 0      )  1 K  38 +  -5.913 MEV
  399    1 AR 38 ( 0      , 0      )  1 CL 38 +  -4.917 MEV
  400    1 K  38 ( 0      , 0      )  1 CA 38 +  -6.742 MEV
  401    1 AR 39 ( 0      , 0      )  1 CL 39 +  -3.438 MEV
  402    1 K  39 ( 0      , 0      )  1 CA 39 +  -6.531 MEV
  403    1 K  39 ( 0      , 0      )  1 AR 39 +  -0.565 MEV
  404    1 AR 40 ( 0      , 0      )  1 CL 40 +  -7.500 MEV
  405    1 AR 40 ( 0      , 0      )  1 K  40 +  -1.505 MEV
  406    1 CA 40 ( 0      , 0      )  1 SC 40 + -14.320 MEV
  407    1 CA 40 ( 0      , 0      )  1 K  40 +  -1.312 MEV
  408    1 K  41 ( 0      , 0      )  1 CA 41 +  -0.421 MEV
  409    1 K  41 ( 0      , 0      )  1 AR 41 +  -2.492 MEV
  410    1 CA 41 ( 0      , 0      )  1 SC 41 +  -6.495 MEV
  411    1 SC 41 ( 0      , 0      )  1 TI 41 + -12.864 MEV
  412    1 CA 42 ( 0      , 0      )  1 SC 42 +  -6.423 MEV
  413    1 CA 42 ( 0      , 0      )  1 K  42 +  -3.521 MEV
  414    1 SC 42 ( 0      , 0      )  1 TI 42 +  -6.999 MEV
  415    1 CA 43 ( 0      , 0      )  1 K  43 +  -1.817 MEV
  416    1 CA 43 ( 0      , 0      )  1 SC 43 +  -2.220 MEV
  417    1 SC 43 ( 0      , 0      )  1 TI 43 +  -6.865 MEV
  418    1 CA 44 ( 0      , 0      )  1 SC 44 +  -3.655 MEV
  419    1 CA 44 ( 0      , 0      )  1 K  44 +  -5.659 MEV
  420    1 SC 44 ( 0      , 0      )  1 TI 44 +  -0.264 MEV
  421    1 TI 44 ( 0      , 0      )  1 V  44 + -13.696 MEV
  422    1 CA 45 ( 0      , 0      )  1 K  45 +  -4.199 MEV
  423    1 SC 45 ( 0      , 0      )  1 TI 45 +  -2.062 MEV
  424    1 SC 45 ( 0      , 0      )  1 CA 45 +  -0.257 MEV
  425    1 TI 45 ( 0      , 0      )  1 V  45 +  -7.125 MEV
  426    1 V  45 ( 0      , 0      )  1 CR 45 + -12.419 MEV
  427    1 CA 46 ( 0      , 0      )  1 SC 46 +  -0.865 MEV
  428    1 CA 46 ( 0      , 0      )  1 K  46 +  -7.718 MEV
  429    1 TI 46 ( 0      , 0      )  1 V  46 +  -6.540 MEV
  430    1 TI 46 ( 0      , 0      )  1 SC 46 +  -2.878 MEV
  431    1 V  46 ( 0      , 0      )  1 CR 46 +  -7.092 MEV
  432    1 CA 47 ( 0      , 0      )  1 K  47 +  -6.644 MEV
  433    1 SC 47 ( 0      , 0      )  1 CA 47 +  -2.503 MEV
  434    1 TI 47 ( 0      , 0      )  1 V  47 +  -2.417 MEV
  435    1 TI 47 ( 0      , 0      )  1 SC 47 +  -1.111 MEV
  436    1 V  47 ( 0      , 0      )  1 CR 47 +  -6.940 MEV
  437    1 CA 48 ( 0      , 0      )  1 K  48 + -11.991 MEV
  438    1 SC 48 ( 0      , 0      )  1 CA 48 +  -0.789 MEV
  439    1 TI 48 ( 0      , 0      )  1 V  48 +  -3.501 MEV
  440    1 TI 48 ( 0      , 0      )  1 SC 48 +  -4.505 MEV
  441    1 V  48 ( 0      , 0      )  1 CR 48 +  -1.148 MEV
  442    1 TI 49 ( 0      , 0      )  1 V  49 +  -0.091 MEV
  443    1 TI 49 ( 0      , 0      )  1 SC 49 +  -2.517 MEV
  444    1 V  49 ( 0      , 0      )  1 CR 49 +  -2.120 MEV
  445    1 TI 50 ( 0      , 0      )  1 V  50 +  -1.697 MEV
  446    1 TI 50 ( 0      , 0      )  1 SC 50 +  -7.399 MEV
  447    1 CR 50 ( 0      , 0      )  1 V  50 +  -1.548 MEV
  448    1 V  51 ( 0      , 0      )  1 CR 51 +  -0.242 MEV
  449    1 V  51 ( 0      , 0      )  1 TI 51 +  -2.982 MEV
  450    1 CR 52 ( 0      , 0      )  1 V  52 +  -4.486 MEV
  451    1 CR 53 ( 0      , 0      )  1 V  53 +  -3.947 MEV
  452    1 CR 54 ( 0      , 0      )  1 V  54 +  -7.552 MEV
  453    1 LI  6 ( 1 NE  1, 0      )  1 LI  7 +   7.251 MEV
  454    1 LI  7 ( 1 NE  1, 0      )  1 LI  8 +   2.032 MEV
  455    1 LI  8 ( 1 NE  1, 0      )  1 LI  9 +   4.062 MEV
  456    1 LI  6 ( 1 H   1, 0      )  1 BE  7 +   5.606 MEV
  457    1 LI  8 ( 1 H   1, 0      )  1 BE  9 +  16.887 MEV
  458    1 LI  9 ( 1 H   1, 1 NE  1)  1 BE  9 +  12.825 MEV
  459    1 LI  9 ( 1 H   1, 0      )  1 BE 10 +  19.637 MEV
  460    1 BE  9 ( 1 NE  1, 1 H   1)  1 LI  9 + -12.825 MEV
  461    1 LI  6 ( 1 HE  4, 0      )  1 B  10 +   4.461 MEV
  462    1 LI  7 ( 1 HE  4, 0      )  1 B  11 +   8.665 MEV
  463    1 LI  8 ( 1 HE  4, 1 NE  1)  1 B  11 +   6.632 MEV
  464    1 LI  8 ( 1 HE  4, 0      )  1 B  12 +  10.002 MEV
  465    1 B  11 ( 1 NE  1, 1 HE  4)  1 LI  8 +  -6.632 MEV
  466    1 LI  9 ( 1 HE  4, 1 NE  1)  1 B  12 +   5.940 MEV
  467    1 LI  9 ( 1 HE  4, 0      )  1 B  13 +  10.818 MEV
  468    1 B  12 ( 1 NE  1, 1 HE  4)  1 LI  9 +  -5.940 MEV
  469    1 LI  7 ( 0      , 1 NE  1)  1 LI  6 +  -7.251 MEV
  470    1 LI  8 ( 0      , 1 NE  1)  1 LI  7 +  -2.032 MEV
  471    1 LI  9 ( 0      , 1 NE  1)  1 LI  8 +  -4.062 MEV
  472    1 BE  7 ( 1 NE  1, 1 H   1)  1 LI  7 +   1.644 MEV
  473    1 LI  7 ( 1 H   1, 1 NE  1)  1 BE  7 +  -1.644 MEV
  474    1 BE  9 ( 1 NE  1, 0      )  1 BE 10 +   6.812 MEV
  475    1 BE 10 ( 1 NE  1, 0      )  1 BE 11 +   0.501 MEV
  476    1 BE  7 ( 1 H   1, 0      )  1 B   8 +   0.138 MEV
  477    1 BE  9 ( 1 H   1, 1 HE  4)  1 LI  6 +   2.125 MEV
  478    1 BE  9 ( 1 H   1, 0      )  1 B  10 +   6.586 MEV
  479    1 LI  6 ( 1 HE  4, 1 H   1)  1 BE  9 +  -2.125 MEV
  480    1 BE 10 ( 1 H   1, 1 HE  4)  1 LI  7 +   2.564 MEV
  481    1 BE 10 ( 1 H   1, 0      )  1 B  11 +  11.228 MEV
  482    1 LI  7 ( 1 HE  4, 1 H   1)  1 BE 10 +  -2.564 MEV
  483    1 BE 11 ( 1 H   1, 1 NE  1)  1 B  11 +  10.727 MEV
  484    1 BE 11 ( 1 H   1, 1 HE  4)  1 LI  8 +   4.095 MEV
  485    1 BE 11 ( 1 H   1, 0      )  1 B  12 +  14.097 MEV
  486    1 B  11 ( 1 NE  1, 1 H   1)  1 BE 11 + -10.727 MEV
  487    1 LI  8 ( 1 HE  4, 1 H   1)  1 BE 11 +  -4.095 MEV
  488    1 BE  7 ( 1 HE  4, 0      )  1 C  11 +   7.545 MEV
  489    1 BE  9 ( 1 HE  4, 1 NE  1)  1 C  12 +   5.701 MEV
  490    1 BE  9 ( 1 HE  4, 0      )  1 C  13 +  10.648 MEV
  491    1 C  12 ( 1 NE  1, 1 HE  4)  1 BE  9 +  -5.701 MEV
  492    1 BE 10 ( 1 HE  4, 1 NE  1)  1 C  13 +   3.836 MEV
  493    1 BE 10 ( 1 HE  4, 0      )  1 C  14 +  12.012 MEV
  494    1 C  13 ( 1 NE  1, 1 HE  4)  1 BE 10 +  -3.836 MEV
  495    1 BE 11 ( 1 HE  4, 1 NE  1)  1 C  14 +  11.511 MEV
  496    1 BE 11 ( 1 HE  4, 0      )  1 C  15 +  12.729 MEV
  497    1 C  14 ( 1 NE  1, 1 HE  4)  1 BE 11 + -11.511 MEV
  498    1 BE  7 ( 0      , 1 H   1)  1 LI  6 +  -5.606 MEV
  499    1 BE  9 ( 0      , 1 H   1)  1 LI  8 + -16.887 MEV
  500    1 BE 10 ( 0      , 1 NE  1)  1 BE  9 +  -6.812 MEV
  501    1 BE 10 ( 0      , 1 H   1)  1 LI  9 + -19.637 MEV
  502    1 BE 11 ( 0      , 1 NE  1)  1 BE 10 +  -0.501 MEV
  503    1 B  10 ( 1 NE  1, 1 H   1)  1 BE 10 +   0.226 MEV
  504    1 B  10 ( 1 NE  1, 1 HE  4)  1 LI  7 +   2.790 MEV
  505    1 B  10 ( 1 NE  1, 0      )  1 B  11 +  11.454 MEV
  506    1 BE 10 ( 1 H   1, 1 NE  1)  1 B  10 +  -0.226 MEV
  507    1 LI  7 ( 1 HE  4, 1 NE  1)  1 B  10 +  -2.790 MEV
  508    1 B  11 ( 1 NE  1, 0      )  1 B  12 +   3.370 MEV
  509    1 B  12 ( 1 NE  1, 0      )  1 B  13 +   4.878 MEV
  510    1 B   8 ( 1 H   1, 0      )  1 C   9 +   1.301 MEV
  511    1 B  10 ( 1 H   1, 1 HE  4)  1 BE  7 +   1.145 MEV
  512    1 B  10 ( 1 H   1, 0      )  1 C  11 +   8.689 MEV
  513    1 BE  7 ( 1 HE  4, 1 H   1)  1 B  10 +  -1.145 MEV
  514    1 B  11 ( 1 H   1, 0      )  1 C  12 +  15.957 MEV
  515    1 B  12 ( 1 H   1, 1 NE  1)  1 C  12 +  12.587 MEV
  516    1 B  12 ( 1 H   1, 1 HE  4)  1 BE  9 +   6.885 MEV
  517    1 B  12 ( 1 H   1, 0      )  1 C  13 +  17.533 MEV
  518    1 C  12 ( 1 NE  1, 1 H   1)  1 B  12 + -12.587 MEV
  519    1 BE  9 ( 1 HE  4, 1 H   1)  1 B  12 +  -6.885 MEV
  520    1 B  13 ( 1 H   1, 1 NE  1)  1 C  13 +  12.655 MEV
  521    1 B  13 ( 1 H   1, 1 HE  4)  1 BE 10 +   8.819 MEV
  522    1 B  13 ( 1 H   1, 0      )  1 C  14 +  20.831 MEV
  523    1 C  13 ( 1 NE  1, 1 H   1)  1 B  13 + -12.655 MEV
  524    1 BE 10 ( 1 HE  4, 1 H   1)  1 B  13 +  -8.819 MEV
  525    1 B   8 ( 1 HE  4, 1 H   1)  1 C  11 +   7.408 MEV
  526    1 B   8 ( 1 HE  4, 0      )  1 N  12 +   8.009 MEV
  527    1 C  11 ( 1 H   1, 1 HE  4)  1 B   8 +  -7.408 MEV
  528    1 B  10 ( 1 HE  4, 1 NE  1)  1 N  13 +   1.060 MEV
  529    1 B  10 ( 1 HE  4, 1 H   1)  1 C  13 +   4.062 MEV
  530    1 B  10 ( 1 HE  4, 0      )  1 N  14 +  11.613 MEV
  531    1 N  13 ( 1 NE  1, 1 HE  4)  1 B  10 +  -1.060 MEV
  532    1 C  13 ( 1 H   1, 1 HE  4)  1 B  10 +  -4.062 MEV
  533    1 B  11 ( 1 HE  4, 1 NE  1)  1 N  14 +   0.159 MEV
  534    1 B  11 ( 1 HE  4, 1 H   1)  1 C  14 +   0.784 MEV
  535    1 B  11 ( 1 HE  4, 0      )  1 N  15 +  10.992 MEV
  536    1 N  14 ( 1 NE  1, 1 HE  4)  1 B  11 +  -0.159 MEV
  537    1 C  14 ( 1 H   1, 1 HE  4)  1 B  11 +  -0.784 MEV
  538    1 B  12 ( 1 HE  4, 1 NE  1)  1 N  15 +   7.622 MEV
  539    1 B  12 ( 1 HE  4, 0      )  1 N  16 +  10.110 MEV
  540    1 N  15 ( 1 NE  1, 1 HE  4)  1 B  12 +  -7.622 MEV
  541    1 B  13 ( 1 HE  4, 1 NE  1)  1 N  16 +   5.232 MEV
  542    1 B  13 ( 1 HE  4, 0      )  1 N  17 +  11.117 MEV
  543    1 N  16 ( 1 NE  1, 1 HE  4)  1 B  13 +  -5.232 MEV
  544    1 B   8 ( 0      , 1 H   1)  1 BE  7 +  -0.138 MEV
  545    1 B  10 ( 0      , 1 H   1)  1 BE  9 +  -6.586 MEV
  546    1 B  10 ( 0      , 1 HE  4)  1 LI  6 +  -4.461 MEV
  547    1 B  11 ( 0      , 1 NE  1)  1 B  10 + -11.454 MEV
  548    1 B  11 ( 0      , 1 H   1)  1 BE 10 + -11.228 MEV
  549    1 B  11 ( 0      , 1 HE  4)  1 LI  7 +  -8.665 MEV
  550    1 B  12 ( 0      , 1 NE  1)  1 B  11 +  -3.370 MEV
  551    1 B  12 ( 0      , 1 H   1)  1 BE 11 + -14.097 MEV
  552    1 B  12 ( 0      , 1 HE  4)  1 LI  8 + -10.002 MEV
  553    1 B  13 ( 0      , 1 NE  1)  1 B  12 +  -4.878 MEV
  554    1 B  13 ( 0      , 1 HE  4)  1 LI  9 + -10.818 MEV
  555    1 C   9 ( 1 NE  1, 0      )  1 C  10 +  21.283 MEV
  556    1 C  10 ( 1 NE  1, 1 H   1)  1 B  10 +   4.430 MEV
  557    1 C  10 ( 1 NE  1, 1 HE  4)  1 BE  7 +   5.576 MEV
  558    1 C  10 ( 1 NE  1, 0      )  1 C  11 +  13.120 MEV
  559    1 B  10 ( 1 H   1, 1 NE  1)  1 C  10 +  -4.430 MEV
  560    1 BE  7 ( 1 HE  4, 1 NE  1)  1 C  10 +  -5.576 MEV
  561    1 C  11 ( 1 NE  1, 1 H   1)  1 B  11 +   2.764 MEV
  562    1 C  11 ( 1 NE  1, 0      )  1 C  12 +  18.721 MEV
  563    1 B  11 ( 1 H   1, 1 NE  1)  1 C  11 +  -2.764 MEV
  564    1 C  12 ( 1 NE  1, 0      )  1 C  13 +   4.946 MEV
  565    1 C  13 ( 1 NE  1, 0      )  1 C  14 +   8.176 MEV
  566    1 C  14 ( 1 NE  1, 0      )  1 C  15 +   1.218 MEV
  567    1 C  10 ( 1 H   1, 0      )  1 N  11 +  -1.316 MEV
  568    1 C  11 ( 1 H   1, 0      )  1 N  12 +   0.601 MEV
  569    1 C  12 ( 1 H   1, 0      )  1 N  13 +   1.943 MEV
  570    1 C  13 ( 1 H   1, 0      )  1 N  14 +   7.551 MEV
  571    1 C  14 ( 1 H   1, 0      )  1 N  15 +  10.207 MEV
  572    1 C  15 ( 1 H   1, 1 NE  1)  1 N  15 +   8.990 MEV
  573    1 C  15 ( 1 H   1, 1 HE  4)  1 B  12 +   1.368 MEV
  574    1 C  15 ( 1 H   1, 0      )  1 N  16 +  11.478 MEV
  575    1 N  15 ( 1 NE  1, 1 H   1)  1 C  15 +  -8.990 MEV
  576    1 B  12 ( 1 HE  4, 1 H   1)  1 C  15 +  -1.368 MEV
  577    1 C   9 ( 1 HE  4, 1 H   1)  1 N  12 +   6.709 MEV
  578    1 C   9 ( 1 HE  4, 0      )  1 O  13 +   8.221 MEV
  579    1 N  12 ( 1 H   1, 1 HE  4)  1 C   9 +  -6.709 MEV
  580    1 C  10 ( 1 HE  4, 1 H   1)  1 N  13 +   5.490 MEV
  581    1 C  10 ( 1 HE  4, 0      )  1 O  14 +  10.117 MEV
  582    1 N  13 ( 1 H   1, 1 HE  4)  1 C  10 +  -5.490 MEV
  583    1 C  11 ( 1 HE  4, 1 H   1)  1 N  14 +   2.923 MEV
  584    1 C  11 ( 1 HE  4, 0      )  1 O  15 +  10.219 MEV
  585    1 N  14 ( 1 H   1, 1 HE  4)  1 C  11 +  -2.923 MEV
  586    1 C  12 ( 1 HE  4, 0      )  1 O  16 +   7.162 MEV
  587    1 C  13 ( 1 HE  4, 1 NE  1)  1 O  16 +   2.216 MEV
  588    1 C  13 ( 1 HE  4, 0      )  1 O  17 +   6.359 MEV
  589    1 O  16 ( 1 NE  1, 1 HE  4)  1 C  13 +  -2.216 MEV
  590    1 C  14 ( 1 HE  4, 0      )  1 O  18 +   6.226 MEV
  591    1 C  15 ( 1 HE  4, 1 NE  1)  1 O  18 +   5.010 MEV
  592    1 C  15 ( 1 HE  4, 0      )  1 O  19 +   8.965 MEV
  593    1 O  18 ( 1 NE  1, 1 HE  4)  1 C  15 +  -5.010 MEV
  594    1 C   9 ( 0      , 1 H   1)  1 B   8 +  -1.301 MEV
  595    1 C  10 ( 0      , 1 NE  1)  1 C   9 + -21.283 MEV
  596    1 C  11 ( 0      , 1 NE  1)  1 C  10 + -13.120 MEV
  597    1 C  11 ( 0      , 1 H   1)  1 B  10 +  -8.689 MEV
  598    1 C  11 ( 0      , 1 HE  4)  1 BE  7 +  -7.545 MEV
  599    1 C  12 ( 0      , 1 NE  1)  1 C  11 + -18.721 MEV
  600    1 C  12 ( 0      , 1 H   1)  1 B  11 + -15.957 MEV
  601    1 C  13 ( 0      , 1 NE  1)  1 C  12 +  -4.946 MEV
  602    1 C  13 ( 0      , 1 H   1)  1 B  12 + -17.533 MEV
  603    1 C  13 ( 0      , 1 HE  4)  1 BE  9 + -10.648 MEV
  604    1 C  14 ( 0      , 1 NE  1)  1 C  13 +  -8.176 MEV
  605    1 C  14 ( 0      , 1 H   1)  1 B  13 + -20.831 MEV
  606    1 C  14 ( 0      , 1 HE  4)  1 BE 10 + -12.012 MEV
  607    1 C  15 ( 0      , 1 NE  1)  1 C  14 +  -1.218 MEV
  608    1 C  15 ( 0      , 1 HE  4)  1 BE 11 + -12.729 MEV
  609    1 N  12 ( 1 NE  1, 1 H   1)  1 C  12 +  18.120 MEV
  610    1 N  12 ( 1 NE  1, 0      )  1 N  13 +  20.064 MEV
  611    1 C  12 ( 1 H   1, 1 NE  1)  1 N  12 + -18.120 MEV
  612    1 N  13 ( 1 NE  1, 1 H   1)  1 C  13 +   3.002 MEV
  613    1 N  13 ( 1 NE  1, 0      )  1 N  14 +  10.553 MEV
  614    1 C  13 ( 1 H   1, 1 NE  1)  1 N  13 +  -3.002 MEV
  615    1 N  14 ( 1 NE  1, 1 H   1)  1 C  14 +   0.625 MEV
  616    1 N  14 ( 1 NE  1, 0      )  1 N  15 +  10.833 MEV
  617    1 C  14 ( 1 H   1, 1 NE  1)  1 N  14 +  -0.625 MEV
