     par(1)       par(2)       par(3)       par(4)     ratio_max
   4.33E+000    3.06E+001    5.05E+002    4.34E+002    1.30E+000
   5.89E+001    1.44E+001    4.87E+001    2.69E+000    1.63E+000
   1.34E+000    5.29E+001    4.39E+002    5.18E+000    1.39E+000
   9.70E+000    5.71E+001    1.22E+001    2.80E+000    4.64E+000
   4.27E+001    2.37E+001    6.29E+002    1.24E+000    1.69E+000
   3.69E+001    9.40E+000    1.27E+001    3.15E+001    1.98E+000
   7.94E+000    8.95E+001    7.75E+002    2.75E+002    1.80E+000
   4.51E+001    5.82E+000    9.69E+002    1.24E+002    2.63E+000
   4.90E+000    5.69E+000    2.40E+002    3.70E+000    4.38E+000
   6.72E+001    1.96E+001    3.13E+001    1.01E+001    2.25E+000
   6.90E+001    2.16E+001    1.74E+000    4.89E+002    2.43E+000
   8.28E+001    5.00E+001    5.72E+001    1.47E+001    3.91E+000
   2.95E+001    5.11E+001    2.36E+000    1.66E+000    2.28E+000
   4.05E+000    5.73E+001    7.46E+000    6.41E+001    4.91E+000
   7.57E+000    3.78E+000    2.42E+002    3.54E+001    4.21E+000
   1.91E+000    4.38E+000    5.79E+002    1.99E+001    1.19E+000
   3.05E+001    8.24E+000    1.85E+001    4.05E+000    3.16E+000
   8.55E+001    4.65E+001    5.86E+001    8.01E+001    4.21E+000
   5.27E+001    4.36E+001    1.65E+001    1.44E+002    1.34E+000
   6.65E+000    9.21E+001    1.33E+001    3.84E+000    1.93E+000
   8.27E+001    2.14E+001    1.08E+001    3.71E+001    3.75E+000
   8.19E+001    2.09E+001    1.55E+002    5.54E+001    3.78E+000
   4.33E+000    2.15E+001    7.17E+002    1.62E+001    1.18E+000
   8.33E+001    1.17E+001    7.20E+002    3.23E+002    4.98E+000
   2.78E+001    5.94E+001    1.08E+000    5.37E+000    2.19E+000
   3.59E+001    1.70E+000    9.46E+001    1.25E+000    1.93E+000
   3.35E+001    5.13E+001    3.25E+002    2.85E+002    1.09E+000
   3.43E+001    2.10E+001    4.92E+002    3.08E+000    1.09E+000
   1.32E+001    1.03E+000    3.22E+002    1.71E+002    2.54E+000
   2.80E+001    2.47E+000    6.86E+000    2.25E+000    4.00E+000
